OID_,VehicleMeters_EngineSeconds,SpinnerDialSetting,OBDIIMessages,Temperatures_RoadTemp,VDTMessages,LiquidSetting,ReportTime,UnloadFunction,LiquidRateIndex,PrewetRateIndex,UnitsOfMeasure,SpeedMetersPerSecond,SpreaderStatus,Location_Longitude,LiquidMode,PositionId,GranularMode,GranularSetting,objectid_1,globalid,ControllerDistance,GranularTotal,InputStatuses,PrewetMode,LiquidTotal,VehicleMeters_IdleSeconds,IgnitionStatusOn,GateSetting,CANMessages,PrewetTotal,SpreaderInfo,GranularRateIndex,HeadingDegrees,VehicleId,Location_Latitude,VehicleMeters_OdometerMeters,PrewetMaterial,ErrorStatus,DriverId,GranularMaterial,Temperatures_AirTemp,PrewetSetting
1,693136.000000000000000,5.000000000000000,,-48.000000000000000,,,1612483248000,,,,E,0.000000000000000,S,-88.082269999999994,,,C,200,320016,{829525C7-6977-064D-DE63-C3F4D4D47D99},,,,,,322186.000000000000000,true,,,,,3,178.000000000000000,H80,41.889180000000003,4373010.000000000000000,,,,SALT,92.000000000000000,10
2,693136.000000000000000,5.000000000000000,,-48.000000000000000,,,1612483248000,,,,E,0.000000000000000,S,-88.082269999999994,,,C,200,320051,{E8241CBA-EB26-B54C-64DA-5E4479CDD486},,,,,,322186.000000000000000,true,,,,,3,178.000000000000000,H80,41.889180000000003,4373010.000000000000000,,,,SALT,92.000000000000000,10
3,940295.000000000000000,6.000000000000000,,31.000000000000000,,,1612483271000,,,,E,13.000000000000000,S,-88.220929999999996,,,C,250,320022,{F1429342-5B65-D2DA-DE69-00EB25E6822C},,,,,,392397.000000000000000,true,,,,,4,18.000000000000000,H6200000,41.983069999999998,6496327.000000000000000,,,,SALT,32.000000000000000,
4,676049.000000000000000,6.000000000000000,,33.000000000000000,,,1612483275000,,,,E,12.000000000000000,S,-88.220730000000003,,,C,250,320006,{741C9C21-7754-E115-4186-25D42524D476},,,,,,347303.000000000000000,true,,,,,4,22.000000000000000,JHJW4378,41.983300000000000,4128682.000000000000000,,,,SALT,32.000000000000000,0
5,1242195.000000000000000,3.000000000000000,,33.000000000000000,,,1612483275000,,,,E,11.000000000000000,S,-88.010400000000004,,,C,200,320008,{129E312E-20B4-63CD-171E-5DBDCC09E919},,,,,,575511.000000000000000,true,,,,,3,178.000000000000000,JHJW4377,41.819650000000003,7592782.000000000000000,,,,SALT,32.000000000000000,0
6,948358.000000000000000,4.000000000000000,,32.000000000000000,,,1612483280000,,,,E,1.000000000000000,S,-87.920370000000005,,,C,250,320007,{E97DBA16-5434-E1D2-6CBE-0C7B756B1E00},,,,,,395293.000000000000000,true,,,,,4,230.000000000000000,H78,41.931379999999997,5908009.000000000000000,,,,SALT,33.000000000000000,12.0
7,1266245.000000000000000,6.000000000000000,,31.000000000000000,,,1612483282000,,,,E,12.000000000000000,S,-88.109769999999997,,,C,250,320013,{E82C5FB9-A348-A6AB-B3E8-180C3C856109},,,,,,617426.000000000000000,true,,,,,4,270.000000000000000,JHJW4375,41.808779999999999,7431811.000000000000000,,,,SALT,32.000000000000000,0
8,1858657.000000000000000,2.000000000000000,,35.000000000000000,,0,1612483282000,,0,0,E,1.000000000000000,S,-88.119780000000006,C,,C,150,320014,{01D3D72E-3FC7-38F9-2CD1-78CEE295319B},,,,C,,889900.000000000000000,true,,,,1,2,268.000000000000000,LL451304,41.953119999999998,6755620.000000000000000,PWT1,0,,SALT,32.000000000000000,0
9,2518128.000000000000000,3.000000000000000,,0.000000000000000,,,1612483285000,,,1,E,13.000000000000000,S,-88.110619999999997,,,C,250,320208,{2402112D-C329-0A90-4DD8-B0B0EE566963},,,,C,,1345440.000000000000000,true,,,,1,4,270.000000000000000,H 76,41.808729999999997,8324380.000000000000000,PWT1,0,,SALT,0.000000000000000,12.0
10,2518128.000000000000000,3.000000000000000,,0.000000000000000,,,1612483285000,,,1,E,13.000000000000000,S,-88.110619999999997,,,C,250,322962,{53251448-B1A1-E25A-F2D9-1689BE8FBEEB},,,,C,,1345440.000000000000000,true,,,,1,4,270.000000000000000,H 76,41.808729999999997,8324380.000000000000000,PWT1,0,,SALT,0.000000000000000,12.0
11,2518128.000000000000000,3.000000000000000,,0.000000000000000,,,1612483285000,,,1,E,13.000000000000000,S,-88.110619999999997,,,C,250,324309,{0BB1BFC9-F591-BDA0-9553-178A31AFED19},,,,C,,1345440.000000000000000,true,,,,1,4,270.000000000000000,H 76,41.808729999999997,8324380.000000000000000,PWT1,0,,SALT,0.000000000000000,12.0
12,2518128.000000000000000,3.000000000000000,,0.000000000000000,,,1612483285000,,,1,E,13.000000000000000,S,-88.110619999999997,,,C,250,324775,{DDA2F611-A080-5B4B-394E-5872EFEE48F4},,,,C,,1345440.000000000000000,true,,,,1,4,270.000000000000000,H 76,41.808729999999997,8324380.000000000000000,PWT1,0,,SALT,0.000000000000000,12.0
13,2518128.000000000000000,3.000000000000000,,0.000000000000000,,,1612483285000,,,1,E,13.000000000000000,S,-88.110619999999997,,,C,250,325511,{9F528D8E-DD8E-487A-A55C-703188153107},,,,C,,1345440.000000000000000,true,,,,1,4,270.000000000000000,H 76,41.808729999999997,8324380.000000000000000,PWT1,0,,SALT,0.000000000000000,12.0
14,2518128.000000000000000,3.000000000000000,,0.000000000000000,,,1612483285000,,,1,E,13.000000000000000,S,-88.110619999999997,,,C,250,325705,{1670669B-AEB3-C295-EB79-48488C1C6570},,,,C,,1345440.000000000000000,true,,,,1,4,270.000000000000000,H 76,41.808729999999997,8324380.000000000000000,PWT1,0,,SALT,0.000000000000000,12.0
15,2518128.000000000000000,3.000000000000000,,0.000000000000000,,,1612483285000,,,1,E,13.000000000000000,S,-88.110619999999997,,,C,250,326115,{5E666AAC-35D4-8FDF-AB21-BC7F8F01C70A},,,,C,,1345440.000000000000000,true,,,,1,4,270.000000000000000,H 76,41.808729999999997,8324380.000000000000000,PWT1,0,,SALT,0.000000000000000,12.0
16,2518128.000000000000000,3.000000000000000,,0.000000000000000,,,1612483285000,,,1,E,13.000000000000000,S,-88.110619999999997,,,C,250,326610,{2F337260-DDF7-B7DE-6F1E-7CA311F1D6D9},,,,C,,1345440.000000000000000,true,,,,1,4,270.000000000000000,H 76,41.808729999999997,8324380.000000000000000,PWT1,0,,SALT,0.000000000000000,12.0
17,2518128.000000000000000,3.000000000000000,,0.000000000000000,,,1612483285000,,,1,E,13.000000000000000,S,-88.110619999999997,,,C,250,327771,{9E9B0C87-DFEF-99CC-19D0-62E7B9FAF2DC},,,,C,,1345440.000000000000000,true,,,,1,4,270.000000000000000,H 76,41.808729999999997,8324380.000000000000000,PWT1,0,,SALT,0.000000000000000,12.0
18,2518128.000000000000000,3.000000000000000,,0.000000000000000,,,1612483285000,,,1,E,13.000000000000000,S,-88.110619999999997,,,C,250,328953,{CEB5F356-CC20-0FC8-39E6-B776A603502E},,,,C,,1345440.000000000000000,true,,,,1,4,270.000000000000000,H 76,41.808729999999997,8324380.000000000000000,PWT1,0,,SALT,0.000000000000000,12.0
19,2518128.000000000000000,3.000000000000000,,0.000000000000000,,,1612483285000,,,1,E,13.000000000000000,S,-88.110619999999997,,,C,250,329078,{750EB4F0-322D-BC2E-4A89-FBEAA8230731},,,,C,,1345440.000000000000000,true,,,,1,4,270.000000000000000,H 76,41.808729999999997,8324380.000000000000000,PWT1,0,,SALT,0.000000000000000,12.0
20,2518128.000000000000000,3.000000000000000,,0.000000000000000,,,1612483285000,,,1,E,13.000000000000000,S,-88.110619999999997,,,C,250,330135,{B2025251-21C3-8496-B566-0EDCDF202F5A},,,,C,,1345440.000000000000000,true,,,,1,4,270.000000000000000,H 76,41.808729999999997,8324380.000000000000000,PWT1,0,,SALT,0.000000000000000,12.0
21,2518128.000000000000000,3.000000000000000,,0.000000000000000,,,1612483285000,,,1,E,13.000000000000000,S,-88.110619999999997,,,C,250,332575,{0164F48D-9490-6DEA-C21E-15592C6618CD},,,,C,,1345440.000000000000000,true,,,,1,4,270.000000000000000,H 76,41.808729999999997,8324380.000000000000000,PWT1,0,,SALT,0.000000000000000,12.0
22,2518128.000000000000000,3.000000000000000,,0.000000000000000,,,1612483285000,,,1,E,13.000000000000000,S,-88.110619999999997,,,C,250,332836,{BA5C7563-2C2B-C701-0443-27BE62E33F12},,,,C,,1345440.000000000000000,true,,,,1,4,270.000000000000000,H 76,41.808729999999997,8324380.000000000000000,PWT1,0,,SALT,0.000000000000000,12.0
23,2518128.000000000000000,3.000000000000000,,0.000000000000000,,,1612483285000,,,1,E,13.000000000000000,S,-88.110619999999997,,,C,250,332808,{AAFA11D3-26EC-4CEA-D58D-CD2C6C6B11FC},,,,C,,1345440.000000000000000,true,,,,1,4,270.000000000000000,H 76,41.808729999999997,8324380.000000000000000,PWT1,0,,SALT,0.000000000000000,12.0
24,2518128.000000000000000,3.000000000000000,,0.000000000000000,,,1612483285000,,,1,E,13.000000000000000,S,-88.110619999999997,,,C,250,332883,{D90F9E4A-57BF-79E7-C128-DC508F7E0932},,,,C,,1345440.000000000000000,true,,,,1,4,270.000000000000000,H 76,41.808729999999997,8324380.000000000000000,PWT1,0,,SALT,0.000000000000000,12.0
25,2518128.000000000000000,3.000000000000000,,0.000000000000000,,,1612483285000,,,1,E,13.000000000000000,S,-88.110619999999997,,,C,250,334627,{EB4768B1-C7FC-9269-F014-489306C49BBC},,,,C,,1345440.000000000000000,true,,,,1,4,270.000000000000000,H 76,41.808729999999997,8324380.000000000000000,PWT1,0,,SALT,0.000000000000000,12.0
26,2518128.000000000000000,3.000000000000000,,0.000000000000000,,,1612483285000,,,1,E,13.000000000000000,S,-88.110619999999997,,,C,250,335169,{639B0E43-7EAB-1FC7-BC7C-CCD677287E3C},,,,C,,1345440.000000000000000,true,,,,1,4,270.000000000000000,H 76,41.808729999999997,8324380.000000000000000,PWT1,0,,SALT,0.000000000000000,12.0
27,2518128.000000000000000,3.000000000000000,,0.000000000000000,,,1612483285000,,,1,E,13.000000000000000,S,-88.110619999999997,,,C,250,335245,{66A022DE-EBA8-AC07-C30A-7C3FD2D164C4},,,,C,,1345440.000000000000000,true,,,,1,4,270.000000000000000,H 76,41.808729999999997,8324380.000000000000000,PWT1,0,,SALT,0.000000000000000,12.0
28,2518128.000000000000000,3.000000000000000,,0.000000000000000,,,1612483285000,,,1,E,13.000000000000000,S,-88.110619999999997,,,C,250,320485,{2C352EB5-57E4-4333-3A3F-77575E74C71E},,,,C,,1345440.000000000000000,true,,,,1,4,270.000000000000000,H 76,41.808729999999997,8324380.000000000000000,PWT1,0,,SALT,0.000000000000000,12.0
29,2518128.000000000000000,3.000000000000000,,0.000000000000000,,,1612483285000,,,1,E,13.000000000000000,S,-88.110619999999997,,,C,250,321867,{5B346FCC-7B85-276D-D4A2-09D409A3FA03},,,,C,,1345440.000000000000000,true,,,,1,4,270.000000000000000,H 76,41.808729999999997,8324380.000000000000000,PWT1,0,,SALT,0.000000000000000,12.0
